scenario,trace_id,operation,decision,metric,value_ms
interactive_valid_flow,tr_de74555672b941e6,issue_downstream_delegation,accepted,ledger_anchor,2.4243
interactive_valid_flow,tr_48bbc3bc71d24c27,issue_downstream_delegation,accepted,incoming_cod_validation,0.201
interactive_valid_flow,tr_48bbc3bc71d24c27,issue_downstream_delegation,accepted,signature_generation,0.0568
interactive_valid_flow,tr_48bbc3bc71d24c27,issue_downstream_delegation,accepted,ledger_anchor,3.484
interactive_valid_flow,tr_92e2663a314446d5,issue_downstream_delegation,accepted,incoming_cod_validation,0.1718
interactive_valid_flow,tr_92e2663a314446d5,issue_downstream_delegation,accepted,signature_generation,0.0514
interactive_valid_flow,tr_92e2663a314446d5,issue_downstream_delegation,accepted,ledger_anchor,3.7382
interactive_valid_flow,tr_778e86c0b6f740e6,delegate_to_domain,accepted,signature_generation,0.0738
interactive_valid_flow,tr_778e86c0b6f740e6,delegate_to_domain,accepted,ledger_anchor,2.3543
interactive_valid_flow,tr_7278f3cd5e1b479b,issue_delegation,accepted,signature_generation,0.0799
interactive_valid_flow,tr_7278f3cd5e1b479b,issue_delegation,accepted,ledger_anchor,2.8301
interactive_valid_flow,tr_ce87ef2613a64c6d,verify_cod,accepted,cod_validation,0.4029
interactive_valid_flow,tr_ce87ef2613a64c6d,verify_cod,accepted,capability_realization,0.072
interactive_valid_flow,tr_ce87ef2613a64c6d,verify_cod,accepted,ledger_anchor,6.962
interactive_valid_flow,tr_e858be8d24394493,verify_cod,accepted,cod_validation,0.1883
interactive_valid_flow,tr_e858be8d24394493,verify_cod,accepted,capability_realization,0.069
interactive_valid_flow,tr_e858be8d24394493,verify_cod,accepted,ledger_anchor,3.8279
interactive_valid_flow,tr_89cfde8a956f45f1,verify_cod,accepted,cod_validation,0.2641
interactive_valid_flow,tr_89cfde8a956f45f1,verify_cod,accepted,capability_realization,0.0844
interactive_valid_flow,tr_89cfde8a956f45f1,verify_cod,accepted,ledger_anchor,6.9369
interactive_valid_flow,tr_bb1bf36eb79e4d06,verify_cod,accepted,cod_validation,0.2266
interactive_valid_flow,tr_bb1bf36eb79e4d06,verify_cod,accepted,capability_realization,0.0844
interactive_valid_flow,tr_bb1bf36eb79e4d06,verify_cod,accepted,ledger_anchor,3.2363
interactive_valid_flow,tr_215a8a70ef1146af,verify_cod,accepted,cod_validation,0.2629
interactive_valid_flow,tr_215a8a70ef1146af,verify_cod,accepted,capability_realization,0.0712
interactive_valid_flow,tr_215a8a70ef1146af,verify_cod,accepted,ledger_anchor,1.9351
