session,test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
01,chain_depth_sensitivity,3,48,True,0.912417,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,49,True,0.893083,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,50,True,0.860708,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,51,True,0.846167,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,52,True,0.906209,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,53,True,0.878916,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,54,True,0.884,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,55,True,0.902042,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,56,True,0.824667,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,57,True,0.904875,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,58,True,0.870958,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,59,True,0.833625,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,60,True,0.840917,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,61,True,0.823667,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,62,True,0.86175,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,63,True,0.894041,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,64,True,0.896292,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,65,True,0.855,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,66,True,0.847125,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,67,True,0.875791,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,68,True,0.887542,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,69,True,0.876458,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,70,True,0.850083,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,71,True,0.880042,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,72,True,0.863917,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,73,True,0.874125,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,74,True,0.869042,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,75,True,0.869334,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,76,True,0.85025,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,77,True,0.859959,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,78,True,0.890958,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,79,True,0.8575,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,80,True,0.817042,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,81,True,1.003375,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,82,True,0.900541,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,83,True,0.890292,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,84,True,0.859917,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,85,True,0.855917,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,86,True,0.897792,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,87,True,0.84775,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,88,True,0.837042,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,89,True,0.828792,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,90,True,0.863167,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,91,True,0.8505,valid chain of delegation,3,2530
